,Tweet Id,Text,UTC,Created At,Favorites,Retweets,color,member
222,1529037595719929857,"東京・渋谷 街頭ビジョンにて、
#KIZUNA (Special Edition) の広告映像を放映中🏙
ぜひチェックしてみてください！

#AmazonMusic(@amazonmusicjp)で
たくさん聴いてくださいね！
https://t.co/pt3fbuuDhb https://t.co/vufi6ybWJz",2022-05-24T09:52:25.000Z,Tue May 24 09:52:25 +0000 2022,10368,3313,orange,Group
223,1529037525096230923,"▶︎ Amazon Music(@amazonmusicjp)🎧
#JO1 の #KIZUNA (Special Edition) 配信中！
ぜひチェックしてください！

🔗 https://t.co/pt3fbuuDhb

#With_Us",2022-05-24T09:52:08.000Z,Tue May 24 09:52:08 +0000 2022,11106,3565,orange,Group
224,1529024412841783297,"JO1｜'With Us' PRACTICE VIDEO
(https://t.co/gMab2nR7o1)

#JO1 #KIZUNA #With_Us",2022-05-24T09:00:02.000Z,Tue May 24 09:00:02 +0000 2022,21197,7495,orange,Group
225,1529020628115681280,"JO1 FCコンテンツ
『JO1交換日記』更新

はいさーい！！

…続きは
JO1公式HP FCコンテンツ
『RELAY BLOG』よりチェックして下さい
▶️https://t.co/3SLfb32mFY

#JO1 #KIZUNA #JO1交換日記 #與那城奨 #YONASHIROSHO https://t.co/ermIVpf6Ww",2022-05-24T08:45:00.000Z,Tue May 24 08:45:00 +0000 2022,14359,4395,green,Yonashiro Sho
226,1528980125496520704,"[#川尻蓮]
かみのけばくはつれん

#JO1 #KAWASHIRIREN https://t.co/pg7Vd5gPuv",2022-05-24T06:04:03.000Z,Tue May 24 06:04:03 +0000 2022,34531,9056,darkblue,Kawashiri Ren
227,1528959145931833344,"[#祝_With_Us_MV300万回再生]

#With_Us MV 300万回再生
ありがとうございます🎉🎉
(https://t.co/XPRDFaoukk)

公約の #Algorithm 
PERFORMANCE VIDEOは
5/28(土) 19:00 に公開いたします！

#JO1 #KIZUNA https://t.co/f23EG9R2le",2022-05-24T04:40:41.000Z,Tue May 24 04:40:41 +0000 2022,31603,10112,orange,Group
228,1528957016055889925,"[🙋🏻‍♂️5/24(火) 出演情報 ]

▫️20:25- bayfm
《 bayfm Meets JO1 2022 ～ KIZUNA ～ 》
大平祥生 金城碧海 木全翔也

出演させていただきます！

#JO1 #KIZUNA #With_Us",2022-05-24T04:32:13.000Z,Tue May 24 04:32:13 +0000 2022,12199,3563,gold,Ohira Shosei
229,1528933812431777793,"JO1 FC会員限定WEBラジオ
『Jamming with JO1』更新！

今回のメンバーは…

Jamming with JO1は
JO1公式HP内 FCコンテンツ
『WEB RADIO』よりチェックして下さい！

▶️https://t.co/3SLfb32mFY

#JO1 #KIZUNA
#Jamming_with_JO1 https://t.co/fgvgB0iHyo",2022-05-24T03:00:01.000Z,Tue May 24 03:00:01 +0000 2022,11591,3895,orange,Group
230,1528752621489729539,"[D-1]
2ND ALBUM ""KIZUNA""
⟴ 5.25 RELEASE

#JO1 #豆原一成 #KIZUNA #With_Us https://t.co/g3GLpfqWVv",2022-05-23T15:00:02.000Z,Mon May 23 15:00:02 +0000 2022,22676,6795,red,Mamehara Issei
231,1528722420546252801,"TBS《 #CDTVライブライブ 》
出演させていただきました🎉
ありがとうございました！

🎧 #With_Us MV
https://t.co/fNyCq6yinr
💿 #KIZUNA サブスク
https://t.co/6AImtZ48CO

今週 5.25(水) リリース
〖 2ND ALBUM ""KIZUNA"" 〗
ぜひチェックしてください！

#JO1 #JO1と共に行くよWith_Us https://t.co/MjNj0M7J2l",2022-05-23T13:00:02.000Z,Mon May 23 13:00:02 +0000 2022,29518,9288,orange,Group
232,1528706159355768833,"JO1 FCコンテンツ
『JO1交換日記』更新

お久しぶりです！かわにしたくみくんです。

…続きは
JO1公式HP FCコンテンツ
『RELAY BLOG』よりチェックして下さい
▶️https://t.co/3SLfb2LjDY

#JO1 #KIZUNA #JO1交換日記 #川西拓実 #KAWANISHITAKUMI https://t.co/fQwE1nHoki",2022-05-23T11:55:25.000Z,Mon May 23 11:55:25 +0000 2022,21118,5825,hotpink,Kawanishi Takumi
